AAPL_1. open,AAPL_2. high,AAPL_3. low,AAPL_4. close,AAPL_5. volume,MSFT_1. open,MSFT_2. high,MSFT_3. low,MSFT_4. close,MSFT_5. volume,GOOGL_1. open,GOOGL_2. high,GOOGL_3. low,GOOGL_4. close,GOOGL_5. volume
228.645,229.35,225.73,227.37,43556068.0,433.0,433.35,426.1,429.17,17015754.0,163.03,163.2158,160.69,162.29,23332147.0
227.34,229.45,225.81,226.47,54146023.0,434.28,436.46,430.3889,433.51,15128891.0,164.35,165.49,161.67,161.85,24150852.0
229.97,233.09,227.62,228.2,318679888.0,437.22,439.24,434.22,435.27,55167106.0,163.5,163.73,162.06,163.59,40896438.0
224.99,229.82,224.63,228.87,66781315.0,441.225,441.5,436.9,438.69,21706559.0,163.71,163.79,161.34,162.14,26587733.0
217.55,222.71,217.54,220.69,59894928.0,435.0,436.03,430.41,430.81,18898042.0,159.86,160.5,158.595,159.81,23677315.0
215.75,216.9,214.5,216.79,45519339.0,440.23,441.85,432.27,435.15,18874231.0,159.02,160.55,158.375,159.32,20715612.0
216.54,217.22,213.92,216.32,59357427.0,430.6,433.53,428.22,431.34,13834697.0,157.31,158.25,156.6,158.06,18379775.0
223.58,224.04,221.91,222.5,36766619.0,425.825,431.83,425.46,430.59,15874555.0,155.43,158.38,155.21,157.46,29591152.0
222.5,223.55,219.82,222.77,37498225.0,423.31,427.3692,419.75,427.0,17418759.0,153.8,154.82,152.65,154.69,29695048.0
221.455,223.09,217.89,222.66,44587072.0,415.5,423.99,409.58,423.04,19266923.0,149.92,151.5,147.52,151.16,29607693.0
218.92,221.48,216.73,220.11,51591033.0,408.2,416.33,407.7,414.2,19594287.0,150.45,151.27,148.34,148.66,31118765.0
220.82,221.27,216.71,220.91,67179965.0,407.24,408.65,402.15,405.72,15295134.0,152.51,153.4,147.215,148.71,39260451.0
223.95,225.24,219.77,220.82,48423011.0,409.06,410.65,400.8,401.7,19609526.0,157.3,157.83,150.55,150.92,37912130.0
221.625,225.48,221.52,222.38,36615398.0,407.62,413.1,406.13,408.39,14195516.0,156.3,159.45,155.9805,157.24,18688747.0
221.66,221.78,217.48,220.85,43262758.0,405.91,411.24,404.37,408.9,14886710.0,156.655,159.0,155.9616,156.45,19197458.0
228.55,229.0,221.17,222.77,50190574.0,417.91,419.88,407.03,409.44,20313603.0,161.72,161.85,156.48,157.36,38945301.0
230.19,230.4,227.48,229.0,52990770.0,415.6,417.49,412.13,417.14,24308324.0,162.615,163.66,161.6925,163.38,22123811.0
230.1,232.92,228.88,229.79,51906297.0,414.94,422.05,410.6,413.12,17045241.0,164.31,165.97,160.25,161.78,19699767.0
227.92,229.86,225.68,226.49,38052167.0,414.88,415.0,407.31,410.6,14882660.0,165.035,165.6,161.5284,162.85,16407444.0
225.995,228.85,224.89,228.03,35934559.0,412.86,414.36,410.25,413.84,13492911.0,165.835,166.4426,164.46,164.68,11821941.0
226.76,227.28,223.8905,227.18,30602208.0,416.365,417.2799,411.34,413.49,13152830.0,166.38,167.55,164.455,166.16,14190417.0
225.6589,228.22,224.33,226.84,38677250.0,416.98,419.26,412.09,416.79,18493784.0,164.72,166.18,163.83,165.62,13955741.0
227.79,228.34,223.9,224.53,43695321.0,424.36,426.7899,414.61,415.55,19361901.0,167.26,167.59,163.31,163.8,22493275.0
226.52,227.98,225.05,226.4,34765480.0,424.075,426.4,421.72,424.14,16067298.0,165.15,166.85,164.67,165.85,22901997.0
225.77,227.17,225.45,226.51,30299033.0,421.7,425.86,421.64,424.8,16387581.0,166.9,168.64,166.82,167.18,18341533.0
225.72,225.99,223.04,225.89,40687813.0,418.96,421.75,416.46,421.53,15233957.0,165.28,166.69,164.26,166.67,22416185.0
223.92,226.8271,223.6501,226.05,44340240.0,420.6,421.34,417.3,418.47,22775593.0,161.47,165.06,161.13,162.96,24208647.0
224.6,225.35,222.76,224.72,46414013.0,419.8,421.11,417.66,421.03,20752144.0,160.5,161.635,159.61,161.3,31524252.0
220.57,223.03,219.7,221.72,41960574.0,414.8,417.72,412.4456,416.86,18266980.0,162.4,163.22,157.71,160.37,40591126.0
219.01,221.89,219.01,221.27,44155331.0,409.59,414.95,409.57,414.01,19414271.0,163.41,164.73,162.97,164.16,18551690.0
216.07,219.5099,215.6,217.53,38028092.0,407.06,408.76,404.2434,406.81,16762883.0,164.35,164.9,161.84,162.29,15895286.0
212.1,216.78,211.97,216.24,42201646.0,404.03,408.05,402.2624,406.02,19276666.0,160.01,163.79,159.06,163.67,28602285.0
213.11,214.2,208.83,213.31,47161149.0,402.44,405.86,399.9407,402.69,20203030.0,160.51,163.69,160.21,162.03,25578839.0
206.9,213.64,206.39,209.82,63516417.0,408.635,410.08,397.47,398.43,20650906.0,161.25,162.98,158.47,158.94,25138573.0
205.3,209.99,201.07,207.23,69660488.0,400.0,405.67,398.5,399.61,24946525.0,159.33,160.57,156.41,158.29,49004561.0
199.09,213.5,196.0,209.27,119548589.0,389.17,401.04,385.58,395.15,40709238.0,155.5,164.43,154.93,159.25,53630673.0
219.15,225.6,217.71,219.86,105568560.0,412.49,415.0,404.34,408.49,29437900.0,166.44,168.51,164.67,166.66,29130102.0
224.37,224.48,217.02,218.36,62500996.0,420.785,427.46,413.0901,417.11,30296400.0,170.25,174.05,168.88,170.76,24531392.0
221.44,223.82,220.63,222.08,50036262.0,420.495,421.775,412.21,418.35,42891366.0,173.24,174.245,170.01,171.54,25729090.0
219.19,220.325,216.12,218.8,41643840.0,427.72,429.05,417.36,422.92,32687578.0,170.24,171.2299,168.44,170.29,18959686.0
216.96,219.3,215.75,218.24,36311778.0,431.58,432.15,424.7042,426.73,15125836.0,168.83,170.43,167.99,169.53,20293822.0
218.7,219.49,216.01,217.96,41601345.0,418.2,428.915,417.27,425.27,23583839.0,167.15,168.09,164.06,167.0,41336886.0
218.93,220.85,214.62,217.49,51391199.0,428.8,429.8,417.51,418.4,29943795.0,172.52,173.42,167.19,167.28,44851973.0
224.0,224.8,217.13,218.54,61777576.0,440.45,441.48,427.585,428.9,26805800.0,173.6,176.19,171.82,172.63,49585203.0
224.365,226.94,222.68,225.01,39960260.0,443.895,448.39,443.1,444.85,13107050.0,182.05,183.61,181.54,181.79,36352714.0
